Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 2,,,,2024-05-27 13:08:44,2024-05-27 13:08:47,2.957s,FAILED
,,,,,,,
Test Cases/TC 2 - Go to katalon,,,,2024-05-27 13:08:45,2024-05-27 13:08:47,2.631s,FAILED
"openBrowser(""katalon.com"")",,,,2024-05-27 13:08:45,2024-05-27 13:08:47,2.267s,FAILED
